datetime,parent,type,name,status,message_raw
08-05-2024 20:10:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 20:08:04,None,Notification Template,5Paisa,Notification Info,"Error sending ""Email"": Connection to SMTP relay server ""smtp.gmail.com"" failed (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)"
08-05-2024 20:06:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,0 #/s
08-05-2024 20:06:01,None,Probe,5Paisa (103.69.168.4)(DR Site),Notification Info,State Trigger sends Email (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
08-05-2024 20:06:01,XTS-11-12 (VM),SNMP Disk Free,Disk Free: (D Drive),Notification Info,State Trigger activated (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
08-05-2024 20:05:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 20:04:55,Probe Device,Probe Health,Probe Health,Up,100 %
08-05-2024 20:04:45,Probe Device,Probe Health,Probe Health,Warning,56 % Delay (Interval Delay non-WMI&SNMP) is above the warning limit of 50 % Delay in Interval Delay non-WMI&SNMP. Sensors of this probe cannot be scanned in their specified intervals. Try longer intervals or distribute load over probes.
08-05-2024 20:02:30,None,Notification Template,Email to all Members of LKP_Group,Notification Info,"Error sending ""Email"": Connection to SMTP relay server ""smtp.gmail.com"" failed (Sensor ID: 16826 | Trigger Source ID: 15830 | Trigger ID: 2)"
08-05-2024 20:01:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,0 #/s
08-05-2024 20:00:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 19:59:27,None,Probe,LKP-RP-GC-201 (103.69.168.28) (GIFT-STT),Notification Info,Threshold Trigger sends Email (Sensor ID: 16826 | Trigger Source ID: 15830 | Trigger ID: 2)
08-05-2024 19:59:27,LKP-DbBackup-224 (172.31.100.224),SNMP Memory,Virtual Memory,Notification Info,Threshold Trigger activated (Sensor ID: 16826 | Trigger Source ID: 15830 | Trigger ID: 2)
08-05-2024 19:57:17,None,Notification Template,5Paisa,Notification Info,"Error sending ""Email"": Connection to SMTP relay server ""smtp.gmail.com"" failed (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)"
08-05-2024 19:56:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,0 #/s
08-05-2024 19:55:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 19:55:15,None,Probe,5Paisa (103.69.168.4)(DR Site),Notification Info,State Trigger sends Email (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
08-05-2024 19:55:15,XTS-11-12 (VM),SNMP Disk Free,Disk Free: (D Drive),Notification Info,State Trigger activated (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
08-05-2024 19:51:30,None,Notification Template,Email to all Members of LKP_Group,Notification Info,"Error sending ""Email"": Connection to SMTP relay server ""smtp.gmail.com"" failed (Sensor ID: 16826 | Trigger Source ID: 15830 | Trigger ID: 2)"
08-05-2024 19:51:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,0 #/s
08-05-2024 19:50:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 19:48:27,None,Probe,LKP-RP-GC-201 (103.69.168.28) (GIFT-STT),Notification Info,Threshold Trigger sends Email (Sensor ID: 16826 | Trigger Source ID: 15830 | Trigger ID: 2)
08-05-2024 19:48:27,LKP-DbBackup-224 (172.31.100.224),SNMP Memory,Virtual Memory,Notification Info,Threshold Trigger activated (Sensor ID: 16826 | Trigger Source ID: 15830 | Trigger ID: 2)
08-05-2024 19:47:04,None,Notification Template,5Paisa,Notification Info,"Error sending ""Email"": Connection to SMTP relay server ""smtp.gmail.com"" failed (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)"
08-05-2024 19:46:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,0 #/s
08-05-2024 19:45:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 19:45:01,None,Probe,5Paisa (103.69.168.4)(DR Site),Notification Info,State Trigger sends Email (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
08-05-2024 19:45:01,XTS-11-12 (VM),SNMP Disk Free,Disk Free: (D Drive),Notification Info,State Trigger activated (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
08-05-2024 19:41:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,0 #/s
08-05-2024 19:40:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 19:36:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Up,0 #/s
08-05-2024 19:36:17,None,Notification Template,5Paisa,Notification Info,"Error sending ""Email"": Connection to SMTP relay server ""smtp.gmail.com"" failed (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)"
08-05-2024 19:35:22,SW_192.168.54.253,Syslog Receiver,Syslog Receiver,Warning,0.03 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
08-05-2024 19:34:30,None,Notification Template,Email to all Members of LKP_Group,Notification Info,"Error sending ""Email"": Connection to SMTP relay server ""smtp.gmail.com"" failed (Sensor ID: 16826 | Trigger Source ID: 15830 | Trigger ID: 2)"
08-05-2024 19:34:15,None,Probe,5Paisa (103.69.168.4)(DR Site),Notification Info,State Trigger sends Email (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
08-05-2024 19:34:15,XTS-11-12 (VM),SNMP Disk Free,Disk Free: (D Drive),Notification Info,State Trigger activated (Sensor ID: 9576 | Trigger Source ID: 5457 | Trigger ID: 1)
