objid,objid_raw,datetime,datetime_raw,parent,parent_raw,type,type_raw,name,name_raw,status,status_raw,message,message_raw
12349,12349,15-05-2024 17:03:23,45427.4815166782,10.100.41.111,10.100.41.111,Redfish System Health,paessler.redfish.system_health_sensor.40,System Health: System (CNIVC007BF0442),System Health: System (CNIVC007BF0442),Up,607,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
10695,10695,15-05-2024 17:03:14,45427.4814235532,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Down,608,"<div class=""logmessage"">0.02 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.02 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12483,12483,15-05-2024 17:03:03,45427.48129625,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
12975,12975,15-05-2024 17:02:55,45427.4811938889,{mgmt-tp-10-112-11-222} (10.112.11.222),{mgmt-tp-10-112-11-222} (10.112.11.222),Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Warning,609,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
300,300,15-05-2024 17:02:20,45427.480795162,None,None,Notification Template,notification,Email and push notification to admin,Email and push notification to admin,Notification Info,13,"<div class=""logmessage"">Error sending &quot;Email&quot;: Authentication to SMTP relay server &quot;smtp.gmail.com&quot; unsuccessful (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)<div class=""moreicon""></div></div>","Error sending ""Email"": Authentication to SMTP relay server ""smtp.gmail.com"" unsuccessful (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)"
300,300,15-05-2024 17:02:18,45427.4807693056,None,None,Notification Template,notification,Email and push notification to admin,Email and push notification to admin,Notification Info,13,"<div class=""logmessage"">Error sending &quot;Push Notification&quot;: No &quot;Push&quot; contact found (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)<div class=""moreicon""></div></div>","Error sending ""Push Notification"": No ""Push"" contact found (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)"
0,0,15-05-2024 17:02:18,45427.4807660532,None,None,Group,group,CDC_INFRA_PRTG-101,CDC_INFRA_PRTG-101,Notification Info,13,"<div class=""logmessage"">State Trigger sends Email,Push Notification (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)<div class=""moreicon""></div></div>","State Trigger sends Email,Push Notification (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)"
12841,12841,15-05-2024 17:02:18,45427.4807658681,NTP_CDC-TP_Secondary_192.168.101.204_New,NTP_CDC-TP_Secondary_192.168.101.204_New,SNTP,sntp,SNTP-192.168.101.204,SNTP-192.168.101.204,Notification Info,13,"<div class=""logmessage"">State Trigger activated (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)<div class=""moreicon""></div></div>",State Trigger activated (Sensor ID: 12841 | Trigger Source ID: 0 | Trigger ID: 1)
10695,10695,15-05-2024 17:02:14,45427.4807291551,{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],{isp-wr-tp-192-168-101-224} (192.168.101.224) [CCR2116-12G-4S+] @Rack_ [TP-],Syslog Receiver,udpsyslog,Syslog Receiver,Syslog Receiver,Up,607,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12261,12261,15-05-2024 17:02:07,45427.4806421759,Probe Device,Probe Device,Probe Health,probestate,Probe Health,Probe Health,Warning,609,"<div class=""logmessage"">68 % Delay (Interval Delay non-WMI&amp;SNMP) is above the warning limit of 50 % Delay in Interval Delay non-WMI&amp;SNMP. Sensors of this probe cannot be scanned in their specified intervals. Try longer intervals or distribute load over probes.<div class=""moreicon""></div></div>",68 % Delay (Interval Delay non-WMI&SNMP) is above the warning limit of 50 % Delay in Interval Delay non-WMI&SNMP. Sensors of this probe cannot be scanned in their specified intervals. Try longer intervals or distribute load over probes.
