ID,Date Time,Parent,Type,Object,Status,Message(RAW)
5080,15-05-2024 18:05:04,{cust-tp-10-112-11-211} (10.112.11.211) [CISCO-Nexus 5596 Chassis] @Rack_L16  [TP-GF],SNMP Traffic 64bit,(436359168) FGT200F_10.112.11.241_Port4 Traffic,Warning,775 Mbit/s (Traffic Total) is above the warning limit of 700 Mbit/s in Traffic Total
12483,15-05-2024 18:05:04,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,Syslog Receiver,Up,0 #/s
10577,15-05-2024 18:05:02,{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48},Syslog Receiver,Syslog Receiver,Up,0 #/s
12521,15-05-2024 18:05:01,{idrac-jp-10-100-11-44} (10.100.11.44) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,Syslog Receiver,Up,0 #/s
10591,15-05-2024 18:04:48,192.168.101.42,SNMP Traffic 64bit,(002) ens33 Traffic,Warning,1 #/s (Discards In) is above the warning limit of 1 #/s in Discards In
5080,15-05-2024 18:04:14,{cust-tp-10-112-11-211} (10.112.11.211) [CISCO-Nexus 5596 Chassis] @Rack_L16  [TP-GF],SNMP Traffic 64bit,(436359168) FGT200F_10.112.11.241_Port4 Traffic,Up,492 Mbit/s
3056,15-05-2024 18:04:08,{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Gi1/0/13(20) to Gi1/0/46_mgmt-tp-10-112-11-201,Up,5.26 Mbit/s
5080,15-05-2024 18:04:04,{cust-tp-10-112-11-211} (10.112.11.211) [CISCO-Nexus 5596 Chassis] @Rack_L16  [TP-GF],SNMP Traffic 64bit,(436359168) FGT200F_10.112.11.241_Port4 Traffic,Warning,713 Mbit/s (Traffic Total) is above the warning limit of 700 Mbit/s in Traffic Total
12483,15-05-2024 18:04:04,{idrac-jp-10-100-11-42} (10.100.11.42) [Cisco-SG350X-48] @Rack_02 [CDC-104],Syslog Receiver,Syslog Receiver,Warning,0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10577,15-05-2024 18:04:02,{mgmt-jp-172.60.60.143} (172.60.60.143) CISCO{WS-C3560X-48},Syslog Receiver,Syslog Receiver,Down,0.07 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
