ID,Date Time,Parent,Type,Object,Status,Message
6218,03-06-2024 20:28:22,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/54 IP-SLA CDC to NSE (172.1.3.1) to (172.1.3.2),Down,"<div class=""logmessage"">96 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
5578,03-06-2024 20:28:21,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/39 IP-SLA LVSB 2.1 to NSE 4.1 Eth-1/39(172.2.2.1) to (172.2.2.2),Up,"<div class=""logmessage"">1 msec<div class=""moreicon""></div></div>"
6265,03-06-2024 20:28:13,Huawei S5720 @NSE-PHASE-2 (172.16.4.22),Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.17 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings — 0.07 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>"
6979,03-06-2024 20:27:54,Cisco 31108 @ CDC-JP-101 (172.16.1.1) (1.1.1.1),Cisco IP SLA,Eth-1/45 IP-SLA CDC to BHANDUP (172.1.8.1) to (172.1.8.2),Down,"<div class=""logmessage"">5 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6424,03-06-2024 20:27:54,Cisco 31108 @CDC-JP-101 (172.17.1.1) (1.1.1.129),Cisco IP SLA,Eth-1/41 IP-SLA CDC to STT-TECHNOPOLIS  (172.1.2.2) to (172.1.2.1),Warning,"<div class=""logmessage"">4 msec (Avg. Round Trip Time (RTT)) is above the warning limit of 3 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
5578,03-06-2024 20:27:51,Cisco 9396PX @ LVSB(172.16.2.1)(2.2.2.2),Cisco IP SLA,Eth-1/39 IP-SLA LVSB 2.1 to NSE 4.1 Eth-1/39(172.2.2.1) to (172.2.2.2),Down,"<div class=""logmessage"">7 msec (Avg. Round Trip Time (RTT)) is above the error limit of 4 msec in Avg. Round Trip Time (RTT)<div class=""moreicon""></div></div>"
6265,03-06-2024 20:27:43,Huawei S5720 @NSE-PHASE-2 (172.16.4.22),Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>"
4351,03-06-2024 20:27:15,Cisco 3548P @ MCX(172.16.1.92),SNMP Traffic 64bit,port-channel20 Traffic,Up,"<div class=""logmessage"">364 Mbit/s<div class=""moreicon""></div></div>"
4286,03-06-2024 20:27:13,Cisco Nexus 3548P @ MCX(172.16.1.91),SNMP Traffic 64bit,port-channel20 Traffic,Up,"<div class=""logmessage"">374 Mbit/s<div class=""moreicon""></div></div>"
6265,03-06-2024 20:27:13,Huawei S5720 @NSE-PHASE-2 (172.16.4.22),Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.03 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>"
