ID,Date Time,Parent,Type,Object,Status,Message,Message(RAW)
12349,03-06-2024 20:53:00,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Unknown,"<div class=""logmessage"">No data since 03-06-2024 20:50:25<div class=""moreicon""></div></div>",No data since 03-06-2024 20:50:25
9116,03-06-2024 20:52:26,{JP-Storage55-Secondary} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12912,03-06-2024 20:52:01,{mgmt-tp-10-112-11-223} (10.112.11.223) [HUAWEI CE6860-48S8CQ-EI],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
9116,03-06-2024 20:51:26,{JP-Storage55-Secondary} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX,Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.10 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings — 0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.10 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings — 0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12355,03-06-2024 20:51:12,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
12912,03-06-2024 20:51:01,{mgmt-tp-10-112-11-223} (10.112.11.223) [HUAWEI CE6860-48S8CQ-EI],Syslog Receiver,Syslog Receiver,Down,"<div class=""logmessage"">0.10 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings — 0.03 #/s (Errors) is above the error limit of &lt; 0.01 #/s in Errors<div class=""moreicon""></div></div>",0.10 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings — 0.03 #/s (Errors) is above the error limit of < 0.01 #/s in Errors
12349,03-06-2024 20:50:25,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
3056,03-06-2024 20:50:08,{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Gi1/0/13(20) to Gi1/0/46_mgmt-tp-10-112-11-201,Up,"<div class=""logmessage"">2.40 Mbit/s<div class=""moreicon""></div></div>",2.40 Mbit/s
12355,03-06-2024 20:50:01,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Unknown,"<div class=""logmessage"">No data since 03-06-2024 20:47:09<div class=""moreicon""></div></div>",No data since 03-06-2024 20:47:09
9597,03-06-2024 20:49:46,{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
3056,03-06-2024 20:49:08,{mgmt-tp-192-168-101-251} (192.168.101.251) [CISCO-WS-C3850-24T] @Rack_L16 [TP-GF],SNMP Traffic 64bit,Gi1/0/13(20) to Gi1/0/46_mgmt-tp-10-112-11-201,Down,"<div class=""logmessage"">980 #/s (Errors Out) is above the error limit of 2 #/s in Errors Out<div class=""moreicon""></div></div>",980 #/s (Errors Out) is above the error limit of 2 #/s in Errors Out
12349,03-06-2024 20:49:01,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Unknown,"<div class=""logmessage"">No data since 03-06-2024 20:46:17<div class=""moreicon""></div></div>",No data since 03-06-2024 20:46:17
9597,03-06-2024 20:48:45,{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18,Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
10359,03-06-2024 20:47:58,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12355,03-06-2024 20:47:09,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
10359,03-06-2024 20:46:58,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
12349,03-06-2024 20:46:17,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
12355,03-06-2024 20:46:01,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Unknown,"<div class=""logmessage"">No data since 03-06-2024 20:43:16<div class=""moreicon""></div></div>",No data since 03-06-2024 20:43:16
5018,03-06-2024 20:45:37,{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15  [TP-GF],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12349,03-06-2024 20:45:01,10.100.41.111,Redfish System Health,System Health: System (CNIVC007BF0442),Unknown,"<div class=""logmessage"">No data since 03-06-2024 20:42:18<div class=""moreicon""></div></div>",No data since 03-06-2024 20:42:18
5018,03-06-2024 20:44:37,{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15  [TP-GF],Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
10359,03-06-2024 20:43:58,{pdu-tp-192.168.101.240} (192.168.101.240) [HUAWEI S5720-56C-EI-DC] @Rack_L13 [TP-GF],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
9597,03-06-2024 20:43:45,{SFT-CAAS-10-250} (192.168.10.250)(SECONDARY_LAN_SW)[C1000-48T-4X-L] @Rack_SFT_AB18,Syslog Receiver,Syslog Receiver,Warning,"<div class=""logmessage"">0.02 #/s (Warnings) is above the warning limit of &lt; 0.01 #/s in Warnings<div class=""moreicon""></div></div>",0.02 #/s (Warnings) is above the warning limit of < 0.01 #/s in Warnings
5018,03-06-2024 20:43:37,{storage-cdc-tp-10-112-11-214} (10.112.11.214) [EdgeCore_AS7712-32X] @Rack_L15  [TP-GF],Syslog Receiver,Syslog Receiver,Up,"<div class=""logmessage"">0 #/s<div class=""moreicon""></div></div>",0 #/s
12355,03-06-2024 20:43:16,10.100.41.112,Redfish System Health,System Health: System (CN7475173U0571),Up,"<div class=""logmessage"">OK<div class=""moreicon""></div></div>",OK
